rank,regex,f1_val,acc_val,f1_tr,acc_tr,score,len,ops,star,plus,qmark,union,groups,tp_val,fp_val,fn_val,tn_val
1,^(?:(?:a|b)*)$,0.6691,0.5028,0.6667,0.5000,0.384960,12,8,1,0,2,1,4,90,89,0,0
2,^(?:(?:a|b)+)$,0.6691,0.5028,0.6667,0.5000,0.384960,12,8,0,1,2,1,4,90,89,0,0
3,^(?:b)$,0.0000,0.4972,0.0000,0.4976,0.029441,5,3,0,0,1,0,2,0,0,90,89
4,^(?:b)$,0.0000,0.4972,0.0000,0.4976,0.029441,5,3,0,0,1,0,2,0,0,90,89
5,^(?:a)$,0.0000,0.4916,0.0000,0.5000,0.028324,5,3,0,0,1,0,2,0,1,90,88
6,^(?:a)$,0.0000,0.4916,0.0000,0.5000,0.028324,5,3,0,0,1,0,2,0,1,90,88
7,^(?:aa)$,0.0000,0.4972,0.0000,0.4976,0.027441,6,3,0,0,1,0,2,0,0,90,89
8,^(?:ba)$,0.0000,0.4972,0.0000,0.4976,0.027441,6,3,0,0,1,0,2,0,0,90,89
9,^(?:bb)$,0.0000,0.4972,0.0000,0.4976,0.027441,6,3,0,0,1,0,2,0,0,90,89
10,^(?:ab)$,0.0000,0.4916,0.0000,0.5000,0.026324,6,3,0,0,1,0,2,0,1,90,88
11,^(?:aaa)$,0.0000,0.4972,0.0000,0.5000,0.025441,7,3,0,0,1,0,2,0,0,90,89
12,^(?:aab)$,0.0000,0.4972,0.0000,0.4976,0.025441,7,3,0,0,1,0,2,0,0,90,89
13,^(?:aba)$,0.0000,0.4972,0.0000,0.4976,0.025441,7,3,0,0,1,0,2,0,0,90,89
14,^(?:baa)$,0.0000,0.4972,0.0000,0.4976,0.025441,7,3,0,0,1,0,2,0,0,90,89
15,^(?:bab)$,0.0000,0.4972,0.0000,0.4976,0.025441,7,3,0,0,1,0,2,0,0,90,89
